"","Date","Team","Acquired","Relinquished","Notes"
"6483","2008-03-04","Pistons",""," Theo Ratliff","placed on IL"
"7483","2008-03-05","Bucks",""," Maurice Williams / Mo Williams","placed on IL with abdominal strain"
"8483","2008-03-05","Bucks",""," Yi Jianlian / Jianlian Yi","placed on IL with sprained left ankle"
"9483","2008-03-05","Bucks"," Awvee Storey","","activated from IL"
"10483","2008-03-05","Bucks"," Ramon Sessions","","activated from IL"
"11483","2008-03-05","Celtics",""," Scot Pollard","placed on IL with left ankle injury"
"12483","2008-03-05","Celtics"," P.J. Brown","","activated from IL"
"13483","2008-03-05","Grizzlies",""," Andre Brown","placed on IL"
"14483","2008-03-05","Grizzlies"," Mike Miller","","activated from IL"
"15483","2008-03-05","Hornets",""," Chris Andersen","placed on IL"
"16483","2008-03-05","Kings",""," Kevin Martin","placed on IL with thumb injury"
"17483","2008-03-05","Kings"," Kenny Thomas","","activated from IL"
"18483","2008-03-05","Timberwolves",""," Corey Brewer","placed on IL with bruised thigh"
"19483","2008-03-05","Timberwolves"," Rashad McCants","","activated from IL"
"20483","2008-03-06","Mavericks",""," Jamaal Magloire","placed on IL"
"21508","2008-03-06","Mavericks",""," Tyronn Lue","placed on IL with strained left calf"
"22491","2008-03-06","Mavericks"," Antoine Wright","","activated from IL"
"23483","2008-03-06","Pacers",""," Ike Diogu","placed on IL"
"24483","2008-03-07","Hornets",""," David West","placed on IL with sprained left ankle"
"25483","2008-03-07","Hornets"," Chris Andersen","","activated from IL"
"26483","2008-03-07","Kings",""," Ron Artest / Metta World Peace","placed on IL with sore right foot"
"21051","2008-03-07","Kings"," Kevin Martin","","activated from IL"
"3484","2008-03-07","Pistons",""," Rasheed Wallace","placed on IL with sprained left ankle"
"4484","2008-03-07","Pistons"," Theo Ratliff","","activated from IL"
"5484","2008-03-07","Timberwolves",""," Michael Doleac","placed on IL"
"6484","2008-03-07","Timberwolves"," Corey Brewer","","activated from IL"
"7484","2008-03-07","Warriors",""," Marco Belinelli","placed on IL"
"8484","2008-03-07","Warriors"," Andris Biedrins","","activated from IL"
"9484","2008-03-08","Heat",""," Dorell Wright","placed on IL recovering from surgery on left knee to repair torn meniscus"
"10484","2008-03-08","Heat"," Daequan Cook","","activated from IL"
"11484","2008-03-08","Heat"," Joel Anthony","","activated from IL"
"12484","2008-03-08","Magic",""," Marcin Gortat","placed on IL"
"13484","2008-03-08","Magic"," Keyon Dooling","","activated from IL"
"14484","2008-03-08","Mavericks",""," Juwan Howard","placed on IL"
"15484","2008-03-08","Mavericks"," Jamaal Magloire","","activated from IL"
"16484","2008-03-08","Nets",""," Maurice Ager","placed on IL"
"17484","2008-03-08","Nets"," Bostjan Nachbar","","activated from IL"
"18484","2008-03-08","Pacers",""," David Harrison","placed on IL"
"19484","2008-03-08","Pacers"," Ike Diogu","","activated from IL"
"20484","2008-03-08","Rockets",""," Carl Landry","placed on IL with left knee injury"
"21509","2008-03-08","Timberwolves",""," Sebastian Telfair","placed on IL with ankle injury"
"22492","2008-03-08","Timberwolves"," Michael Doleac","","activated from IL"
"23484","2008-03-09","76ers",""," Louis Amundson / Lou Amundson","placed on IL"
"24484","2008-03-09","76ers"," Shavlik Randolph","","activated from IL"
"25484","2008-03-09","Kings"," Kenny Thomas","","placed on IL"
"26484","2008-03-09","Kings"," Ron Artest / Metta World Peace","","activated from IL"
"21052","2008-03-10","Celtics",""," Brian Scalabrine","placed on IL"
"3485","2008-03-10","Heat",""," Dwyane Wade","placed on IL with sore left knee"
"4485","2008-03-10","Knicks",""," Eddy Curry","placed on IL with torn cartilage in right knee"
"5485","2008-03-10","Knicks"," Zach Randolph","","activated from IL"
"6485","2008-03-10","Mavericks",""," Devean George","placed on IL with back spasms"
"7485","2008-03-10","Mavericks"," Juwan Howard","","activated from IL"
"8485","2008-03-11","Bulls",""," Chris Duhon","placed on IL with viris"
"9485","2008-03-11","Bulls"," Thabo Sefolosha","","activated from IL"
"10485","2008-03-11","Pacers",""," Andre Owens","placed on IL"
"11485","2008-03-11","Pacers"," David Harrison","","activated from IL"
"12485","2008-03-12","76ers",""," Willie Green","placed on IL with strained lower back"
"13485","2008-03-12","76ers"," Louis Amundson / Lou Amundson","","activated from IL"
"14485","2008-03-12","Bobcats"," Gerald Wallace","","activated from IL"
"15485","2008-03-12","Cavaliers",""," Eric Snow","placed on IL with sore left knee"
"16485","2008-03-12","Cavaliers"," Aleksandar Pavlovic / Sasha Pavlovic","","activated from IL"
"17485","2008-03-12","Hornets",""," Chris Andersen","placed on IL"
"18485","2008-03-12","Hornets",""," Rasual Butler","placed on IL"
"19485","2008-03-12","Hornets"," Bonzi Wells","","activated from IL"
"20485","2008-03-12","Hornets"," David West","","activated from IL"
"21510","2008-03-12","Mavericks",""," Jose Juan Barea / Jose Barea / J.J. Barea","placed on IL"
"22493","2008-03-12","Mavericks"," Tyronn Lue","","activated from IL"
"23485","2008-03-12","Pistons",""," Walter Herrmann","placed on IL"
"24485","2008-03-12","Pistons"," Rasheed Wallace","","activated from IL"
"25485","2008-03-12","Sonics",""," Nick Collison","placed on IL with sore back"
"26485","2008-03-12","Sonics"," Adrian Griffin","","activated from IL"
"21053","2008-03-12","Warriors"," Marco Belinelli","","activated from IL"
"3486","2008-03-14","Sonics",""," Adrian Griffin","placed on IL"
"4486","2008-03-14","Sonics",""," Francisco Elson","placed on IL with strained MCL in right knee"
"5486","2008-03-14","Sonics"," Mouhamed Sene / Saer Sene","","activated from IL"
"6486","2008-03-14","Sonics"," Nick Collison","","activated from IL"
"7486","2008-03-15","76ers",""," Shavlik Randolph","placed on IL"
"8486","2008-03-15","76ers"," Willie Green","","activated from IL"
"9486","2008-03-15","Bucks",""," Andrew Bogut","placed on IL with bruised thigh"
"10486","2008-03-15","Bucks"," Maurice Williams / Mo Williams","","activated from IL"
"11486","2008-03-15","Celtics",""," Ray Allen","placed on IL with bruised left heel"
"12486","2008-03-15","Celtics"," Brian Scalabrine","","activated from IL"
"13486","2008-03-15","Grizzlies",""," Darko Milicic","placed on IL with sore right foot"
"14486","2008-03-15","Grizzlies"," Andre Brown","","activated from IL"
"15486","2008-03-15","Nets",""," Nenad Krstic","placed on IL with upper respiratory infection"
"16486","2008-03-15","Nets"," Maurice Ager","","activated from IL"
"17486","2008-03-15","Suns"," Eric Piatkowski","","activated from IL"
"18486","2008-03-16","Cavaliers"," Zydrunas Ilgauskas","","activated from IL"
"19486","2008-03-16","Hornets",""," David West","placed on IL with sprained right ankle"
"20486","2008-03-16","Hornets"," Chris Andersen","","activated from IL"
"21511","2008-03-16","Mavericks",""," Jamaal Magloire","placed on IL"
"22494","2008-03-16","Mavericks"," Devean George","","activated from IL"
"23486","2008-03-16","Raptors",""," Primoz Brezec","placed on IL with groin injury"
"24486","2008-03-16","Raptors"," Darrick Martin","","activated from IL"
"25486","2008-03-17","Bulls"," Chris Duhon","","activated from IL"
"26486","2008-03-17","Bulls"," Demetris Nichols","","activated from IL"
"21054","2008-03-17","Grizzlies",""," Andre Brown","placed on IL"
"3487","2008-03-17","Grizzlies"," Darko Milicic","","activated from IL"
"4487","2008-03-18","Bucks",""," Jake Voskuhl","placed on IL"
"5487","2008-03-18","Bucks"," Yi Jianlian / Jianlian Yi","","activated from IL"
"6487","2008-03-19","Hornets",""," Chris Andersen","placed on IL"
"7487","2008-03-19","Hornets"," David West","","activated from IL"
"8487","2008-03-19","Pacers",""," Danny Granger","placed on IL with sprained right wrist"
"9487","2008-03-19","Pacers"," Andre Owens","","activated from IL"
"10487","2008-03-19","Raptors",""," Darrick Martin","placed on IL"
"11487","2008-03-19","Raptors"," Chris Bosh","","activated from IL"
"12487","2008-03-19","Sonics",""," Mickael Gelabale","placed on IL with sprained right knee"
"13487","2008-03-19","Sonics"," Adrian Griffin","","activated from IL"
"14487","2008-03-19","Warriors",""," Austin Croshere","placed on IL with groin injury"
"15487","2008-03-19","Warriors"," Kosta Perovic","","activated from IL"
"16487","2008-03-20","Celtics",""," Tony Allen","placed on IL with bruised lower back"
"17487","2008-03-20","Celtics"," Ray Allen","","activated from IL"
"18487","2008-03-21","76ers",""," Louis Amundson / Lou Amundson","placed on IL"
"19487","2008-03-21","76ers"," Shavlik Randolph","","activated from IL"
"20487","2008-03-21","Nets",""," Maurice Ager","placed on IL"
"21512","2008-03-21","Nets"," Nenad Krstic","","activated from IL"
"22495","2008-03-21","Pacers",""," Andre Owens","placed on IL"
"23487","2008-03-21","Pacers"," Danny Granger","","activated from IL"
"24487","2008-03-21","Rockets",""," Loren Woods","placed on IL"
"25487","2008-03-21","Rockets"," Carl Landry","","activated from IL"
"26487","2008-03-22","Bucks",""," Ramon Sessions","placed on IL"
"21055","2008-03-22","Bucks"," Andrew Bogut","","activated from IL"
"3488","2008-03-22","Rockets",""," Aaron Brooks","placed on IL"
"4488","2008-03-22","Rockets"," Loren Woods","","activated from IL"
"5488","2008-03-23","Warriors",""," Mickael Pietrus","placed on IL with strained groin"
"6488","2008-03-23","Warriors"," Austin Croshere","","activated from IL"
"7488","2008-03-24","Bucks",""," Charlie Bell","placed on IL with torn MCL in right knee (out for season)"
"8488","2008-03-24","Bucks"," Ramon Sessions","","activated from IL"
"9488","2008-03-24","Celtics"," Tony Allen","","activated from IL"
"10488","2008-03-24","Nets",""," Stromile Swift","placed on IL"
"11488","2008-03-24","Nets"," Maurice Ager","","activated from IL"
"12488","2008-03-24","Pistons"," Lindsey Hunter","","activated from IL"
"13488","2008-03-24","Sonics"," Francisco Elson","","activated from IL"
"14488","2008-03-25","Hornets",""," Hilton Armstrong","placed on IL"
"15488","2008-03-25","Hornets"," Chris Andersen","","activated from IL"
"16488","2008-03-25","Mavericks",""," Dirk Nowitzki","placed on IL with high left ankle sprain"
"17488","2008-03-25","Mavericks"," Jamaal Magloire","","activated from IL"
"18488","2008-03-25","Spurs",""," Brent Barry","placed on IL with calf injury"
"19488","2008-03-26","76ers",""," Shavlik Randolph","placed on IL"
"20488","2008-03-26","76ers"," Louis Amundson / Lou Amundson","","activated from IL"
"21513","2008-03-26","Bucks",""," Bobby Simmons","placed on IL with flu"
"22496","2008-03-26","Bucks"," Jake Voskuhl","","activated from IL"
"23488","2008-03-26","Celtics",""," Brian Scalabrine","placed on IL"
"24488","2008-03-26","Nets",""," Maurice Ager","placed on IL with upper respiratory infection"
"25488","2008-03-26","Nets"," Stromile Swift","","activated from IL"
"26488","2008-03-26","Pacers",""," Troy Murphy","placed on IL with strep throat"
"21056","2008-03-26","Pacers"," Andre Owens","","activated from IL"
"3489","2008-03-26","Pistons",""," Richard Hamilton","placed on IL with sore left hip"
"4489","2008-03-26","Pistons"," Walter Herrmann","","activated from IL"
"5489","2008-03-26","Raptors",""," Maceo Baston","placed on IL"
"6489","2008-03-26","Raptors"," Primoz Brezec","","activated from IL"
"7489","2008-03-27","Mavericks",""," Jamaal Magloire","placed on IL"
"8489","2008-03-27","Mavericks"," Eddie Jones","","activated from IL"
"9489","2008-03-27","Nuggets",""," Taurean Green","placed on IL"
"10489","2008-03-27","Nuggets"," Nene / Nene Hilario / Maybyner Hilario","","activated from IL"
"11489","2008-03-28","76ers",""," Louis Amundson / Lou Amundson","placed on IL"
"12489","2008-03-28","76ers"," Shavlik Randolph","","activated from IL"
"13489","2008-03-28","Bucks",""," Andrew Bogut","placed on IL with broken nose"
"14489","2008-03-28","Bucks"," Bobby Simmons","","activated from IL"
"15489","2008-03-28","Kings",""," Beno Udrih","placed on IL with strained lower back"
"16489","2008-03-28","Kings"," Kenny Thomas","","activated from IL"
"17489","2008-03-28","Lakers",""," Pau Gasol","placed on IL with sprained left ankle"
"18489","2008-03-28","Lakers"," Chris Mihm","","activated from IL"
"19489","2008-03-28","Magic",""," Jameer Nelson","placed on IL with bruised jaw"
"20489","2008-03-28","Magic"," Marcin Gortat","","activated from IL"
"21514","2008-03-28","Pacers",""," Andre Owens","placed on IL"
"22497","2008-03-28","Pacers"," Troy Murphy","","activated from IL"
"23489","2008-03-28","Raptors",""," Joey Graham","placed on IL"
"24489","2008-03-29","Cavaliers",""," Lance Allred","placed on IL"
"25489","2008-03-29","Cavaliers"," Daniel Gibson","","activated from IL"
"26489","2008-03-29","Pistons",""," Lindsey Hunter","placed on IL"
"21057","2008-03-29","Pistons"," Richard Hamilton","","activated from IL"
"3490","2008-03-30","Cavaliers",""," Ben Wallace","placed on IL with back spasms"
"4490","2008-03-30","Cavaliers"," Lance Allred","","activated from IL"
"5490","2008-03-30","Jazz",""," Andrei Kirilenko","placed on IL with muscle spasms in right calf"
"6490","2008-03-30","Jazz",""," Mehmet Okur","placed on IL with stomach viris"
"7490","2008-03-30","Jazz"," Kyrylo Fesenko","","activated from IL"
"8490","2008-03-30","Jazz"," Morris Almond","","activated from IL"
"9490","2008-03-30","Mavericks",""," Jerry Stackhouse","placed on IL with strained right groin"
"10490","2008-03-30","Mavericks"," Jamaal Magloire","","activated from IL"
"11490","2008-03-31","Jazz",""," Ronnie Brewer","placed on IL with strained right groin"
"12490","2008-03-31","Jazz"," Mehmet Okur","","activated from IL"
"13490","2008-03-31","Pacers",""," David Harrison","placed on IL with illness"
"14490","2008-03-31","Pacers"," Jermaine O'Neal","","activated from IL"
"15490","2008-04-01","Bucks",""," Jake Voskuhl","placed on IL with sprained left ankle"
"16490","2008-04-01","Bucks"," Andrew Bogut","","activated from IL"
"17490","2008-04-01","Bulls",""," Drew Gooden","placed on IL with abdominal strain"
"18490","2008-04-01","Bulls"," Cedric Simmons","","activated from IL"
"19490","2008-04-01","Hornets",""," Melvin Ely","placed on IL"
"20490","2008-04-01","Hornets"," Hilton Armstrong","","activated from IL"
"21515","2008-04-01","Magic",""," Brian Cook","placed on IL with broken right middle finger"
"22498","2008-04-01","Magic"," James Augustine","","activated from IL"
"23490","2008-04-01","Pistons",""," Chauncey Billups","placed on IL for rest"
"24490","2008-04-01","Pistons",""," Rasheed Wallace","placed on IL for rest"
"25490","2008-04-01","Pistons",""," Richard Hamilton","placed on IL for rest"
"26490","2008-04-01","Pistons"," Cheikh Samb","","activated from IL"
"21058","2008-04-01","Pistons"," Lindsey Hunter","","activated from IL"
"3491","2008-04-01","Rockets",""," Loren Woods","placed on IL"
"4491","2008-04-01","Rockets"," Aaron Brooks","","activated from IL"
"5491","2008-04-01","Spurs",""," Robert Horry","placed on IL with bruised left knee"
"6491","2008-04-02","Clippers",""," Chris Kaman","placed on IL with sprained right ankle"
"7491","2008-04-02","Clippers"," Elton Brand","","activated from IL"
"8491","2008-04-02","Jazz",""," Kyrylo Fesenko","placed on IL"
"9491","2008-04-02","Jazz"," Andrei Kirilenko","","activated from IL"
"10491","2008-04-02","Lakers",""," Coby Karl","placed on IL"
"11491","2008-04-02","Lakers"," Pau Gasol","","activated from IL"
"12491","2008-04-02","Mavericks",""," Jamaal Magloire","placed on IL"
"13491","2008-04-02","Mavericks"," Dirk Nowitzki","","activated from IL"
"14491","2008-04-02","Pacers",""," Marquis Daniels","placed on IL with toe injury"
"15491","2008-04-02","Pacers"," David Harrison","","activated from IL"
"16491","2008-04-02","Wizards"," Gilbert Arenas","","activated from IL"
"17491","2008-04-03","Bulls",""," Cedric Simmons","placed on IL"
"18491","2008-04-03","Bulls"," Shannon Brown","","activated from IL"
"19491","2008-04-03","Cavaliers",""," Lance Allred","placed on IL"
